Categoria;Posicao;Nome;OCs;Percentual;Finalizadas
Cliente;1;A.B OPERADORA DE TERMINAIS;993;52.5%;940
Cliente;2;TCI TERMINAL DE CARGAS;423;22.4%;408
Cliente;3;MRS ESTAÇÃO SÃO BENTO;210;11.1%;206
Cliente;4;EQUIPE ENGENHARIA;72;3.8%;65
Cliente;5;SIDERURGICA ALTEROSA S/A;62;3.3%;60
Cliente;6;METALSIDER LTDA;60;3.2%;55
Cliente;7;GELF SIDERURGIA S/A;52;2.8%;50
Cliente;8;ARCELORMITTAL BRASIL AS;8;0.4%;8
Cliente;9;AVG SIDERURGIA LTDA;5;0.3%;5
Cliente;10;METALSETE SIDERURGIA S/A;3;0.2%;3
Cliente;11;INPASA;1;0.1%;1
Cliente;12;MODULAX SIDERURGIA S/A;1;0.1%;1
Parceiro;1;DC4 TRANSPORTES LTDA;330;53.3%;299
Parceiro;2;JOACIR APARECIDO CAPTADOR PJ;238;38.4%;232
Parceiro;3;EDNILSON JOAQUIM DE MENDONÇA;45;7.3%;41
Parceiro;4;CTS - COOPERATIVA DE TRANSPORTES DE SOROCABA E REG;3;0.5%;1
Parceiro;5;TRANS MARTINS;3;0.5%;3
Material;1;MINÉRIO;1794;96.1%;1736
Material;2;PEDRA;72;3.9%;65
Material;3;MILHO;1;0.1%;1
